State,District,Latitude,Longitude,Population,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Households_with_Car_Jeep_Van,Households_with_Scooter_Motorcycle_Moped,sex_ratio,literacy_rate
Uttar Pradesh,Etah,27.591155309734443,78.70021858407083,1774480,647042,408160,281011,150631,130380,140,87,53,545984,440244,105740,415476,130508,1228496,242396,131779,28396,143413,1611126,146346,2464,708,2887,5671,37027,69591,2635,401998,238019,214091,201984,178434,119665,88607,1149372,383707,237427,6644,54798,87.0,59.0
Uttar Pradesh,Etawah,26.78817670157068,79.07621806282728,1581810,623583,438420,388283,208731,179552,169,89,80,506072,413713,92359,361588,144484,1075738,170827,158026,20803,156416,1457892,113961,1362,1045,1733,3917,47520,113098,2964,351126,171216,292852,298700,195192,121283,118571,979633,362026,237786,7736,47713,87.0,67.0
Uttar Pradesh,Faizabad,26.60589185185181,82.00783530864202,2470996,838339,612562,555047,281284,273763,931,469,462,831209,597888,233321,496579,334630,1639787,260406,272734,43505,254564,2094271,365806,3225,1912,737,358,58328,127754,4746,589666,356093,361114,347114,231129,176303,179996,1534832,543148,367332,15426,74081,96.0,59.0
Uttar Pradesh,Farrukhabad,27.45063297872342,79.4406284574468,1885204,654827,437850,312712,168009,144703,230,124,106,592267,494545,97722,474686,117581,1292937,245089,135679,43528,167971,1596278,276846,3137,3160,3161,487,59209,88081,2624,411490,270550,330084,257279,184298,115069,110391,1224584,411153,246795,6765,49592,87.0,58.0
Uttar Pradesh,Fatehpur,25.8374362030905,80.85416203090509,2632733,911003,601163,651480,342892,308588,340,189,151,1063929,713736,350193,670156,393773,1568804,328758,425366,51555,258250,2274674,350700,2201,402,172,199,43492,75263,3385,636540,409875,463642,376472,227119,134445,116445,1624830,603831,395547,16758,59754,90.0,57.0
Uttar Pradesh,Firozabad,27.20963993055552,78.42660624999998,2498156,912314,609492,473890,253288,220602,2565,1346,1219,761521,621840,139681,573649,187872,1736635,184595,150221,59942,366763,2140745,314812,3370,1804,3395,19077,100919,196080,5834,535368,324525,416295,368905,277163,166249,108627,1621154,543730,312689,10940,85413,88.0,61.0
Uttar Pradesh,Gautam Buddha Nagar,28.393311038961038,77.52462467532465,1648115,666065,456882,216105,115438,100667,2215,1189,1026,569109,443384,125725,458492,110617,1079006,72668,48845,35400,412196,1394025,215500,7366,9261,895,4518,193902,257586,53181,509770,201277,330623,283031,218587,194796,101645,1015648,402967,188862,78631,124939,85.0,68.0
Uttar Pradesh,Ghaziabad,28.74997308584685,77.67441879350343,4681645,1811397,1311867,773463,412750,360713,3968,2104,1864,1520538,1231615,288923,1252911,267627,3161107,158868,123680,83672,1154318,3414427,1186776,19026,23001,3487,16412,501592,695130,78116,1191723,534606,858286,797473,597661,475439,255949,2891069,1139871,559963,119441,292502,88.0,67.0
Uttar Pradesh,Ghazipur,25.624724775583484,83.5360854578097,3620268,1293553,903996,726641,375015,351626,28712,14664,14048,1204602,808700,395902,766881,437721,2415666,368943,435934,68254,331471,3233790,368153,4181,810,3145,213,36798,105767,5309,761640,566504,691057,563310,449909,334003,186306,2234593,774130,556273,21169,78218,95.0,61.0
Uttar Pradesh,Gonda,27.157215552099505,82.0226888024882,3433919,1034181,645813,531973,276656,255317,870,476,394,1170552,855848,314704,739663,430889,2263367,440340,431532,65299,233381,2739076,678615,4735,1893,649,338,45517,104084,4313,726372,678171,425584,305644,192664,144067,118176,2223078,734903,464584,13053,75067,92.0,49.0
Uttar Pradesh,Gorakhpur,26.63315886792452,83.3549560377358,4440895,1593890,1106438,936061,481123,454938,18172,9261,8911,1351629,1016876,334753,746381,605248,3089266,255660,454931,82965,558073,4009037,403847,9662,2123,2848,460,149727,296619,14597,951128,873031,618398,560246,425913,316166,273903,2755630,992114,659677,30258,157765,95.0,61.0
Uttar Pradesh,Hardoi,27.337409090909137,80.26411767676768,4092845,1374587,847014,1274505,685223,589282,349,186,163,1318946,1091952,226994,969871,349075,2773899,596813,406830,59649,255654,3508131,556219,5822,5688,6671,446,60689,95508,3845,907677,741817,906861,510507,247265,138583,103523,2598364,905306,559988,12396,82094,87.0,54.0
Uttar Pradesh,Jalaun,26.067954587155988,79.36686911314993,1689974,653430,421766,468178,252588,215590,832,428,404,620764,470969,149795,420266,200498,1069210,196613,243035,26109,155007,1509708,171581,1148,463,2875,256,42616,104176,2217,396421,169207,327534,282919,167911,104699,106888,1002817,410090,274954,7009,58169,87.0,64.0
Uttar Pradesh,Jaunpur,25.70141280913127,82.54315351934063,4494204,1565394,1166283,990345,494226,496119,4736,2363,2373,1437375,934157,503218,896547,540828,3056829,540762,436792,88404,371417,3981502,483750,4947,1286,7898,349,56508,181467,8002,1006670,665376,939616,769693,520111,353996,256398,2826453,927026,689979,22876,128471,102.0,61.0
Uttar Pradesh,Jhansi,25.45581535234902,78.89954580536917,1998603,783705,520808,562505,297386,265119,3873,2074,1799,814914,565357,249557,560041,254873,1183689,228881,248072,48648,289313,1823930,147842,7050,4951,1203,7328,94342,183340,8517,504913,184997,370685,341371,186348,99814,92586,1171301,510728,308331,18860,94539,89.0,65.0
Uttar Pradesh,Jyotiba Phule Nagar,28.870498984771597,78.39009365482241,1840221,600541,382569,318001,166662,151339,164,89,75,599089,459037,140052,453567,145522,1241132,217672,131877,31600,217940,1075440,750368,5952,5295,189,517,55064,89329,2825,451374,251669,352835,230640,161282,164763,69522,1227283,391275,215849,7361,63056,91.0,53.0
Uttar Pradesh,Kannauj,26.993988617886185,79.64437940379408,1656616,603596,413491,309980,166454,143526,15,9,6,524676,430934,93742,419027,105649,1131940,239350,129517,51330,104479,1375788,273967,1263,504,2033,606,32510,61491,2488,365770,237853,283674,263749,175582,107628,95072,1069916,361028,223535,6011,37935,88.0,61.0
Uttar Pradesh,Kanpur Dehat,26.43047641196011,79.98710083056478,1796184,692964,477279,460544,248195,212349,801,398,403,628864,493991,134873,448651,180213,1167320,224986,234069,20783,149026,1612968,176327,1300,478,819,155,23831,49753,2682,405256,235341,344866,341845,223529,157167,97740,1100820,415918,276272,12752,40159,86.0,65.0
Uttar Pradesh,Kaushambi,25.53587532051282,81.41811282051287,1599596,507279,306145,555397,291303,264094,193,102,91,639086,402644,236442,415312,223774,960510,141102,321410,30491,146083,1372381,220423,2225,522,687,545,22034,43753,1503,380620,184229,253910,180825,146757,89011,45341,1034099,336401,210556,4403,35502,91.0,51.0
Uttar Pradesh,Kushinagar,26.892530675909864,83.92261542461007,3564544,1183722,771098,544231,278947,265284,80269,41003,39266,1116973,804857,312116,523258,593715,2447571,265686,528388,57049,265850,2928462,620244,5006,767,4619,383,29304,127331,3486,785099,836856,424892,367405,249265,170911,119625,2236842,772777,500373,12849,70192,96.0,55.0
Uttar Pradesh,Lalitpur,24.58877161016945,78.60082330508473,1221592,397586,243605,240519,126325,114194,71610,36834,34776,503351,326783,176568,357033,146318,718241,267580,131354,14882,89535,1163804,33724,1351,1034,69,20390,20720,77082,1079,301832,185575,202692,154118,61543,32237,34658,793551,265080,159666,5511,36718,91.0,52.0
Uttar Pradesh,Lucknow,26.838233589251463,80.89706026871404,4589838,1742440,1384820,948294,498799,449495,7506,4036,3470,1542806,1226399,316407,1152285,390521,3047032,175578,203029,99863,1064336,3537787,985070,20493,23883,3877,4975,469747,582769,68506,1061721,489898,554301,552171,428121,378742,639260,2678289,1161686,685258,90205,337254,92.0,68.0
Uttar Pradesh,Mahoba,25.34529670138888,79.67863003472216,875958,302283,185823,220898,117389,103509,647,355,292,349676,237153,112523,238712,110964,526282,114244,130422,13523,91487,815142,57454,965,389,94,234,12874,42936,1316,246823,119002,141201,131165,60400,33810,37165,527067,201394,137393,5755,21276,88.0,56.0
Uttar Pradesh,Mainpuri,27.17386862302482,79.03501851015807,1868529,712110,491775,368206,196507,171699,478,258,220,560840,466067,94773,424782,136058,1307689,270888,137174,24784,127994,1746649,100723,1729,475,8814,4161,43074,79022,2642,411258,234774,353287,319158,230731,144516,111696,1193660,402321,265638,7361,53444,88.0,64.0
Uttar Pradesh,Mathura,27.59390432801821,77.62153416856502,2547184,943346,564400,506580,271295,235285,1520,826,694,840939,635142,205797,594799,246140,1706245,235886,179248,44453,381352,2310776,216933,3179,2872,883,2056,107867,281239,8726,585290,303291,420976,344961,233264,155937,103102,1600686,535738,327854,16580,124260,86.0,59.0
Uttar Pradesh,Mau,26.01082203791469,83.50582654028433,2205968,773082,589962,474537,241498,233039,22915,11464,11451,696747,475413,221334,396438,300309,1509221,145225,212343,118614,220565,1769937,428555,2109,340,564,155,40087,149908,2656,451528,344570,410737,320743,256784,209493,150462,1402738,467343,323260,7411,47576,98.0,62.0
Uttar Pradesh,Meerut,29.02957625698323,77.80611005586593,3443689,1254520,886968,624149,334198,289951,3390,1828,1562,1090539,898810,191729,890810,199729,2353150,196068,153995,63096,677380,2183255,1185643,10582,24912,1855,18544,236071,425624,23717,803823,412280,495861,469403,359944,254337,275076,2165117,780475,451827,42392,186553,89.0,62.0
Uttar Pradesh,Mirzapur,25.10207959183675,82.60126628571429,2496970,865837,562846,661129,347436,313693,20132,10480,9652,881996,613061,268935,537091,344905,1614974,178132,334372,80246,289246,2292534,195765,2373,1133,341,701,43500,145997,4447,543115,361642,421577,340261,232189,177109,140668,1590528,552177,346773,10205,63155,90.0,57.0
Uttar Pradesh,Moradabad,28.851770406189537,78.73580193423597,4772006,1357435,906413,731406,385244,346162,685,377,308,1417811,1193439,224372,1104968,312843,3354195,368638,338384,88733,622056,2488265,2248392,13157,7555,1260,2426,179473,281758,11690,1047916,635957,725118,492338,296210,186311,186489,3168270,988486,525574,19316,148802,91.0,47.0
Uttar Pradesh,Muzaffarnagar,29.470507977736563,77.64017847866423,4143512,1448528,968811,561250,298587,262663,317,176,141,1291644,1081569,210075,1085491,206153,2851868,336049,323641,45952,586002,2382914,1711453,6495,18601,1516,16345,147785,368153,10077,969850,826387,780470,531913,281747,148770,98691,2671757,911621,544283,32866,145278,89.0,58.0
Uttar Pradesh,Pilibhit,28.52024175035868,79.90103974175037,2031007,654290,406805,333558,176436,157122,1714,892,822,618605,534939,83666,463415,155190,1412402,216476,224192,22782,155155,1449007,489686,3510,84787,360,138,47723,83006,2870,461390,294135,281158,240057,117838,77602,66129,1320476,449673,256276,7560,55738,89.0,52.0
Uttar Pradesh,Pratapgarh,25.864842731707316,81.93530048780492,867848,250122,151393,60429,30755,29674,550427,276742,273685,481294,251691,229603,327445,153849,386554,306419,96815,5516,72544,827293,25597,358,72,32,14077,17984,71612,716,234082,142397,111276,70969,35206,21854,19109,545987,204801,115608,2803,31782,98.0,46.0
Uttar Pradesh,Pratapgarh,25.864842731707316,81.93530048780492,3209141,1121381,810178,709252,351054,358198,723,380,343,1066601,704569,362032,553013,513588,2142540,305746,386563,68642,305650,2731351,452394,3920,1451,7795,746,46358,140538,5149,752786,427626,558350,456752,332742,238011,197846,2002569,703727,492097,15781,104506,100.0,60.0
Uttar Pradesh,Rae Bareli,26.253902840059787,81.22260463378181,3405559,1165965,799878,1030367,526735,503632,1756,876,880,1204710,867393,337317,644869,559841,2200849,316891,507882,60774,319163,2975998,413243,3634,2424,722,397,65080,247856,5184,778418,540661,538301,477689,270775,182823,153041,2116007,776583,506583,13483,94437,94.0,58.0
Uttar Pradesh,Rampur,28.83244727272725,79.10977333333337,2335819,630408,413258,307936,162844,145092,358,207,151,737261,609693,127568,564266,172995,1598558,214187,230238,54238,238598,1073890,1181337,9201,65316,384,1307,62281,131112,3847,539992,278477,374898,171242,85117,51703,43839,1576123,491164,258913,14386,73261,91.0,45.0
Uttar Pradesh,Saharanpur,30.03381165217392,77.59905147826095,3466382,1220114,856994,764450,407029,357421,980,517,463,1037344,911136,126208,882701,154643,2429038,221567,273050,34032,508695,1966892,1454052,6523,18627,1937,10208,149035,404499,9699,889238,474060,600668,431491,256510,163463,154153,2228689,769736,433862,21310,151620,89.0,60.0
Uttar Pradesh,Sant Kabir Nagar,26.791596516393444,83.0387764344262,1715183,567098,387851,369039,187413,181626,1593,823,770,539469,383482,155987,265453,274016,1175714,149604,241825,28884,119156,1300586,404410,1766,447,4393,95,17671,79525,2031,352151,341757,290532,205875,129442,86528,63506,1108368,352395,250502,6778,37986,97.0,56.0
Uttar Pradesh,Shahjahanpur,27.991389350649328,79.8302275324675,3006538,915142,575788,532673,285280,247393,508,259,249,892214,783313,108901,699503,192711,2114324,344973,275192,31141,240908,2412595,527581,4630,51090,2312,301,91958,115163,3889,655003,451571,476064,315873,158430,96308,87355,1961237,652237,368743,9927,73581,87.0,50.0
Uttar Pradesh,Sitapur,27.501995963091108,80.85288881199547,4483992,1397702,886031,1446427,767033,679394,1602,833,769,1422602,1171252,251350,1023642,398960,3061390,571097,473554,70971,306980,3555450,893725,6579,11611,2663,1410,74072,102040,3874,938902,714304,656401,482220,221898,136383,127750,2862383,1000987,588318,11679,88916,89.0,51.0
Uttar Pradesh,Sonbhadra,24.46693268858798,83.06816324951639,1862559,601988,383720,421661,218996,202665,385018,197825,187193,730399,463611,266788,397196,333203,1132160,141007,371261,29417,188714,1738769,103567,3963,1649,1747,487,40467,95582,5149,428088,306218,297226,212565,120822,82614,63846,1203938,418914,237866,10279,50700,92.0,53.0
Uttar Pradesh,Sultanpur,26.2846386419753,82.05710456790123,3797117,1300248,939654,851587,431438,420149,696,358,338,1242632,869838,372794,690967,551665,2554485,338890,501634,85785,316323,3119590,650261,4453,1629,9989,426,55055,233701,5956,889628,460210,637015,526973,306046,188848,176414,2376875,828222,580164,18382,104307,98.0,59.0
Uttar Pradesh,Unnao,26.63163990895297,80.636773292868,3108367,1053063,720521,948588,494487,454101,2926,1558,1368,1124744,851014,273730,761831,362913,1983623,450123,332663,49243,292715,2732016,363453,3574,1204,920,240,70484,99466,3476,717356,501457,512965,415378,240024,136688,101934,1893706,706851,453462,10191,79130,91.0,57.0
Uttar Pradesh,Varanasi,25.36057088888889,82.82529666666672,3676841,1389116,1014787,486958,256483,230475,28617,14992,13625,1220708,921234,299474,920761,299947,2456133,197952,182146,168764,671846,3107681,546987,7696,3309,1146,1898,202055,336056,19214,755064,467782,608174,557052,447926,351391,281652,2260457,856070,531549,24216,157861,91.0,65.0
Uttaranchal,Almora,29.683532133676103,79.50165064267351,622506,231604,204893,150995,72695,78300,1281,633,648,298211,142460,155751,201078,97133,324295,207617,10274,4312,76008,611250,7752,1895,256,201,31,40199,109876,1830,281138,90864,120029,115810,76148,53026,37742,351595,141238,128994,3396,6719,114.0,70.0
Uttaranchal,Bageshwar,29.98703393393397,79.83954354354357,259898,97546,81937,72061,35623,36438,1982,971,1011,123638,58708,64930,78085,45553,136260,85125,8985,2991,26537,257509,1440,397,46,102,7,13352,47083,435,99911,38113,47788,50340,31224,20785,10900,147488,60569,51672,1149,2005,109.0,69.0
Uttaranchal,Chamoli,30.58338611464965,79.56281095541402,391605,155395,125161,79317,39718,39599,12260,6021,6239,180940,93832,87108,115115,65825,210665,121157,3845,5384,50554,385818,4395,428,323,190,11,27853,71524,899,186340,47447,68435,67519,47703,32557,27168,229715,93182,67873,2516,2311,102.0,72.0
Uttaranchal,Champawat,29.29142393939393,80.07720212121217,259648,102015,75711,47383,24188,23195,1339,777,562,99566,60427,39139,62698,36868,160082,59993,4032,1570,33971,249563,8693,870,336,24,28,18785,37725,548,98041,36127,48093,45766,23610,18360,15110,156916,60722,41913,1387,5151,98.0,68.0
Uttaranchal,Pithoragarh,30.14720631868129,80.34229230769236,483439,189623,155927,120378,60111,60267,19535,9558,9977,216490,113539,102951,145481,71009,266949,137332,5432,6055,67671,475105,6015,1401,260,185,13,45365,95421,1344,209943,63591,87585,90983,56591,42086,28375,273494,116749,92517,3008,6136,102.0,71.0
Uttaranchal,Tehri Garhwal,30.463700918635173,78.48783792650917,618931,227406,180588,102130,50371,51759,875,459,416,280442,140821,139621,165912,114530,338489,187121,8129,4021,81171,609835,7374,656,290,32,91,50929,117239,1366,254236,72163,103462,95417,74008,58434,30704,368324,139371,109998,4324,9697,108.0,66.0
Uttaranchal,Udham Singh Nagar,29.02779577677222,79.45629004524895,1648902,598525,439314,238264,124385,113879,123037,61758,61279,591458,444578,146880,450762,140696,1057444,122686,165250,26396,277126,1104452,372267,6064,162768,505,738,116576,254802,7883,414659,179602,302653,232381,169274,113661,111062,1042614,392370,212223,16841,88369,92.0,63.0
Uttaranchal,Uttarkashi,30.968958552036234,78.56880615384617,330086,128237,86889,80567,40833,39734,3512,1651,1861,157276,84265,73011,128367,28909,172810,117264,4387,3122,32503,324859,3554,353,167,563,74,21374,52621,602,121209,43442,46625,47640,30901,24989,18882,202426,75997,51245,1637,4046,96.0,65.0
West Bengal,Bankura,23.081280892857155,87.12640053571437,3596674,1299337,933655,1174447,593440,581007,368690,183467,185223,1466220,1050822,415398,916393,549827,2130454,309723,647374,61386,447737,3033581,290450,3865,386,260,2904,45126,334670,4273,991400,450029,545200,686924,261478,143882,133465,1942335,1014764,637834,7898,72350,96.0,62.0
West Bengal,Barddhaman,23.444453888888884,87.8150581111111,7717563,2918040,2329168,2115719,1079584,1036135,489447,243581,245866,2911251,2293083,618168,2166742,744509,4806312,342166,973182,124558,1471345,6008472,1599764,21220,16675,1602,1674,292585,1049943,32323,2227236,800473,1437198,1605634,698251,405935,439823,4149420,2265543,1292913,46714,263368,95.0,68.0
West Bengal,Birbhum,24.06389342723,87.65153089201888,3502404,1201481,956966,1033140,529001,504139,242484,119787,122697,1331603,1029770,301833,912844,418759,2170801,227254,611510,65062,427777,2181515,1298054,10906,582,258,1152,57010,333752,5210,965609,417769,661190,622372,245201,122865,115743,2008655,952059,539463,7305,54557,96.0,62.0
West Bengal,Dakshin Dinajpur,25.342094363021435,88.69821679819614,1676276,596474,487211,482754,248312,234442,275366,138025,137341,702987,499560,203427,526470,176517,973289,193276,279932,32290,197489,1232850,412788,24794,276,148,323,37186,168069,2518,461026,247675,323965,327064,135556,63286,52345,937283,465982,271423,6211,20163,96.0,65.0
West Bengal,Darjiling,26.839619571045585,88.33145067024122,1846823,717673,597912,317275,161495,155780,397389,197251,200138,683726,479586,204140,532855,150871,1163097,76178,66041,16579,524928,1366681,105086,141848,2032,209240,1840,141897,297176,10943,518959,183479,344865,402415,176129,113905,110193,1031221,523288,289979,15192,39828,97.0,71.0
West Bengal,Haora,22.401674174428507,87.99421176968654,4850029,1942824,1662382,718951,367053,351898,15094,7761,7333,1819845,1498170,321675,1496267,323578,3030184,80575,181662,297774,1259834,3535844,1270641,8666,4380,1258,9699,325053,796953,30751,1352697,516323,1059842,1084155,446743,284481,304594,2587164,1423304,833104,22295,122818,94.0,74.0
West Bengal,Hugli,22.87929264705881,88.00010264705891,5519145,2211777,1866611,1344021,680992,663029,229243,113249,115994,2152870,1713608,439262,1714645,438225,3366275,259680,583380,111828,1197982,4574569,870204,7300,2662,1730,2160,319815,965258,31725,1640038,676265,1172797,1174912,515807,333658,380060,2766489,1688206,1060821,24013,167753,96.0,74.0
West Bengal,Jalpaiguri,26.62642031250004,89.04154375000003,3872846,1396622,1102158,1458278,750841,707437,731704,365868,365836,1512910,1091361,421549,1153765,359145,2359936,214932,349672,30090,918216,3156781,445817,186279,2994,50676,1461,138522,382500,9322,1117804,455854,765613,814395,292056,150360,129393,2259507,1035449,575667,16431,67075,95.0,65.0
West Bengal,Kolkata,22.550581481481483,88.3527648148148,4496694,1926915,1661222,241932,128053,113879,10684,5729,4955,1795740,1412466,383274,1576419,219321,2700954,16039,12388,68438,1698875,3440290,926414,39758,13849,4771,21178,623579,927602,136618,1308106,255171,597841,820902,555529,425245,691804,2025389,1433314,1014769,85605,117173,91.0,80.0
West Bengal,Maldah,25.08026802575105,88.17191684549356,3988845,1152019,934413,835430,432744,402686,313984,157528,156456,1537847,1086461,451386,1050995,486852,2450998,255182,545759,196687,540219,1914352,2045151,13209,747,359,639,54213,297716,5357,958996,478902,629137,595551,238078,109719,92207,2511004,955283,520122,9639,41600,94.0,52.0
West Bengal,Murshidabad,24.25950655391121,88.16816860465121,7103807,2177187,1878647,897534,460143,437391,91035,46163,44872,2589907,1985667,604240,2022083,567824,4513900,381076,842294,466007,900530,2359061,4707573,18102,766,348,3037,92742,541169,7951,1851965,837828,1428661,1210859,443254,230242,170051,4390564,1717594,991413,14050,74313,96.0,57.0
West Bengal,Nadia,23.56410971055088,88.58293034547152,5167600,1878866,1601689,1546917,798258,748659,140700,71142,69558,1842607,1554090,288517,1595880,246727,3324993,308742,556134,169138,808593,3728482,1382682,33835,849,514,281,168314,623729,12787,1549771,605490,1093403,1052487,412193,236828,209562,2745828,1484986,934417,18658,76698,95.0,67.0
West Bengal,Puruliya,23.254192328767108,86.3968532876713,2930115,1002058,622847,567767,290789,276978,540652,271803,268849,1249642,801254,448388,613398,636244,1680473,268800,492205,87560,401077,2373120,227249,8646,622,209,3052,30675,189889,3551,752652,299355,480046,528068,177459,91807,77621,1678057,764776,484166,6602,49630,96.0,55.0
West Bengal,Uttar Dinajpur,26.044619165196977,88.23595232216337,3007134,853495,636172,807950,418288,389662,162816,81831,80985,1075626,799627,275999,824342,251284,1931508,257377,442328,37978,337943,1482943,1501170,16702,477,432,1324,39138,199307,2883,778250,402590,488047,422777,163106,73395,59457,1916033,704859,385155,8150,31859,94.0,50.0
