State,District,Latitude,Longitude,Population,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Households_with_Car_Jeep_Van,Households_with_Scooter_Motorcycle_Moped,sex_ratio,literacy_rate
Rajasthan,Rajsamand,25.24894767441859,73.96570215946844,1156597,383334,235805,148168,74738,73430,160809,81173,79636,550831,319534,231297,362584,188247,605766,207582,106587,13505,223157,1105676,33677,759,260,100,14966,36073,193276,1989,365676,190090,190388,140839,72969,41063,34286,687165,275099,193668,7060,62714,99.0,54.0
Rajasthan,Sawai Madhopur,26.251081180223288,76.4219283891548,1335551,486184,255564,278789,146333,132456,285848,152745,133103,578068,343802,234266,418555,159513,757483,313358,88804,12070,163836,1165505,155681,945,812,177,9991,40116,140947,1887,353321,205450,172925,151108,87349,57625,70870,841697,309237,183234,4398,41953,90.0,56.0
Rajasthan,Sikar,27.64644058641976,75.29317422839503,2677333,995275,656842,418806,216523,202283,75349,39098,36251,1006504,657854,348650,698711,307793,1670829,501311,87889,22776,394528,2342076,327583,1122,356,177,4050,131342,339457,5647,705834,369959,438872,367412,282595,200430,181282,1672813,605002,381226,22494,77340,95.0,62.0
Rajasthan,Sirohi,24.7976905263158,72.75309131578943,1036346,309900,166906,201863,104899,96964,292470,148966,143504,419829,272196,147633,313292,106537,616517,124080,97823,9443,188483,996562,30479,1284,572,114,6829,47182,134089,2146,308174,117971,147381,110385,58213,30724,27076,649290,244401,142251,6343,38817,94.0,46.0
Rajasthan,Tonk,26.153935071707927,75.79192216427637,1421326,478329,271330,287903,148110,139793,178207,92677,85530,649161,371848,277313,495797,153364,772165,326083,113426,16004,193648,1243527,153146,754,378,122,22458,32359,158264,1908,380666,237191,190750,154825,91853,64431,67155,880194,334006,205593,6295,68174,95.0,53.0
Rajasthan,Udaipur,24.44076752136749,73.84029839743584,3068420,973444,609185,188525,97094,91431,1525289,773213,752076,1365783,835839,529944,822355,543428,1702637,539106,302968,33535,490174,2869976,104307,7406,4278,209,78647,128320,357846,14211,848218,442946,386075,277392,164290,102085,142672,1876436,739287,451034,27979,157259,96.0,52.0
Sikkim,East,27.29600352941175,88.74908392156858,1709346,748382,604616,281422,148019,133403,0,0,0,579692,486951,92741,555026,24666,1129654,1156,3094,19541,555901,1410852,178807,15792,53027,2643,46927,327253,352758,80037,462218,86484,219061,260094,267825,235187,246988,948963,497157,262124,87499,162670,88.0,79.0
Tamil Nadu,Ariyalur,11.190514836795256,79.22249643916912,754894,269582,211022,176230,88076,88154,10722,5274,5448,359851,212547,147304,272241,87610,395043,107312,166837,13564,72138,708397,7942,37403,104,88,65,39642,177502,1749,254277,60697,134123,113437,96860,53934,57524,380484,216103,157771,2937,40913,101.0,64.0
Tamil Nadu,Chennai,13.058098905608748,80.28139151846806,4646732,1968079,1808197,779667,389001,390666,10061,5207,4854,1817297,1369302,447995,1619554,197743,2829435,14454,13674,37345,1751824,3751322,439270,358662,2851,2804,51708,910262,1096334,217368,1314125,167207,516445,720331,801050,464207,905515,2271657,1468902,899279,146388,515581,99.0,81.0
Tamil Nadu,Coimbatore,10.871376995940452,77.07619012178621,3458045,1394790,1241117,535911,266960,268951,28342,14245,14097,1567950,1083125,484825,1443252,124698,1890095,80217,230026,50085,1207622,3044145,211035,190314,1112,435,3284,675153,896325,63273,1169752,220388,466745,523563,526165,273098,440520,1579517,1117221,757738,87211,445588,100.0,76.0
